1
119;1092;1249;20;20;"0Б";1;1
119;901;1250;20;20;"0Б";10;10
119;821;1250;20;20;"0Б";11;11
119;799;1250;20;20;"0Б";12;12
119;778;1250;20;20;"0Б";13;13
119;757;1250;20;20;"0Б";14;14
119;736;1250;20;20;"0Б";15;15
119;714;1250;20;20;"0Б";16;16
119;693;1250;20;20;"0Б";17;17
119;672;1250;20;20;"0Б";18;18
119;651;1250;20;20;"0Б";19;19
119;1070;1250;20;20;"0Б";2;2
119;630;1250;20;20;"0Б";20;20
119;1049;1250;20;20;"0Б";3;3
119;1028;1250;20;20;"0Б";4;4
119;1007;1250;20;20;"0Б";5;5
119;985;1250;20;20;"0Б";6;6
119;964;1250;20;20;"0Б";7;7
119;943;1250;20;20;"0Б";8;8
119;922;1250;20;20;"0Б";9;9
