65;1120;187;10;21;10
65;1090;187;11;21;11
65;1060;187;12;21;12
65;1029;187;13;21;13
65;1000;187;14;21;14
65;969;187;15;21;15
65;940;187;16;21;16
65;911;187;17;21;17
65;882;187;18;21;18
65;853;187;19;21;19
65;1355;187;2;21;2
65;823;187;20;21;20
65;794;187;21;21;21
65;763;187;22;21;22
65;733;187;23;21;23
65;703;186;24;21;24
65;672;186;25;21;25
65;642;186;26;21;26
65;614;186;27;21;27
65;584;186;28;21;28
65;555;186;29;21;29
65;1327;187;3;21;3
65;526;186;30;21;30
65;496;186;31;21;31
65;466;186;32;21;32
65;436;186;33;21;33
65;407;186;34;21;34
65;1296;187;4;21;4
65;1266;187;5;21;5
65;1238;187;6;21;6
65;1208;187;7;21;7
65;1179;187;8;21;8
65;1150;187;9;21;9
65;1400;914;1;3;1
65;1134;914;10;3;10
65;1104;914;11;3;11
65;1074;914;12;3;12
65;1043;914;13;3;13
65;1014;914;14;3;14
65;983;914;15;3;15
65;954;914;16;3;16
65;925;914;17;3;17
65;896;914;18;3;18
65;867;914;19;3;19
65;1369;914;2;3;2
65;837;914;20;3;20
65;808;914;21;3;21
65;777;914;22;3;22
65;747;914;23;3;23
65;717;913;24;3;24
65;686;913;25;3;25
65;656;913;26;3;26
65;628;913;27;3;27
65;598;913;28;3;28
65;569;913;29;3;29
65;1341;914;3;3;3
65;540;913;30;3;30
65;510;913;31;3;31
65;480;913;32;3;32
65;450;913;33;3;33
65;421;913;34;3;34
65;391;913;35;3;35
65;1310;914;4;3;4
65;1281;914;5;3;5
65;1252;914;6;3;6
65;1222;914;7;3;7
65;1193;914;8;3;8
65;1164;914;9;3;9
65;1400;874;1;4;1
65;1134;874;10;4;10
65;1104;874;11;4;11
65;1074;874;12;4;12
65;1043;874;13;4;13
65;1014;874;14;4;14
65;983;874;15;4;15
65;954;874;16;4;16
65;925;874;17;4;17
65;896;874;18;4;18
65;867;874;19;4;19
65;1369;874;2;4;2
65;837;874;20;4;20
65;808;874;21;4;21
65;777;874;22;4;22
65;747;874;23;4;23
65;717;873;24;4;24
65;686;873;25;4;25
65;656;873;26;4;26
65;628;873;27;4;27
65;598;873;28;4;28
65;569;873;29;4;29
65;1341;874;3;4;3
65;540;873;30;4;30
65;510;873;31;4;31
65;480;873;32;4;32
65;450;873;33;4;33
65;421;873;34;4;34
65;391;873;35;4;35
65;1310;874;4;4;4
65;1281;874;5;4;5
65;1252;874;6;4;6
65;1222;874;7;4;7
65;1193;874;8;4;8
65;1164;874;9;4;9
65;1400;834;1;5;1
65;1134;834;10;5;10
65;1104;834;11;5;11
65;1074;834;12;5;12
65;1042;832;13;5;13
65;1014;835;14;5;14
65;983;834;15;5;15
65;954;834;16;5;16
65;925;834;17;5;17
65;896;834;18;5;18
65;867;834;19;5;19
65;1369;834;2;5;2
65;837;834;20;5;20
65;808;834;21;5;21
65;777;834;22;5;22
65;747;834;23;5;23
65;717;833;24;5;24
65;686;833;25;5;25
65;656;833;26;5;26
65;628;833;27;5;27
65;598;833;28;5;28
65;569;833;29;5;29
65;1341;834;3;5;3
65;540;833;30;5;30
65;510;833;31;5;31
65;480;833;32;5;32
65;450;833;33;5;33
65;421;833;34;5;34
65;391;833;35;5;35
65;1310;834;4;5;4
65;1280;834;5;5;5
65;1252;834;6;5;6
65;1222;834;7;5;7
65;1193;834;8;5;8
65;1164;834;9;5;9
65;1388;795;1;6;1
65;1122;795;10;6;10
65;1092;795;11;6;11
65;1062;795;12;6;12
65;1031;795;13;6;13
65;1002;795;14;6;14
65;971;795;15;6;15
65;942;795;16;6;16
65;913;795;17;6;17
65;884;795;18;6;18
65;855;795;19;6;19
65;1357;795;2;6;2
65;825;795;20;6;20
65;796;795;21;6;21
65;765;795;22;6;22
65;735;795;23;6;23
65;705;794;24;6;24
65;674;794;25;6;25
65;644;794;26;6;26
65;616;794;27;6;27
65;586;794;28;6;28
65;557;794;29;6;29
65;1329;795;3;6;3
65;528;794;30;6;30
65;498;794;31;6;31
65;468;794;32;6;32
65;438;794;33;6;33
65;409;794;34;6;34
65;1298;795;4;6;4
